ISO;Usable?;Continent;Region;Population;GDP/c PPP 2018 (US$);Country;Index-4;Index-3;Index-2;Index-1;Intergenerational Solidarity Index;Rank;Index0-H-Ind;Index0-En-1-Ind;Index0-En-2-Ind;Index0-En-3-Ind;Index0-En-T-Ind;Index0-Ec-1-Ind;Index0-Ec-2-Ind;Index0-Ec-3-Ind;Index0-Ec-T-Ind;Index0-S-1-Ind;Index0-S-2-Ind;Index0-S-3-Ind;Index0-S-T-Ind;Annual forest cover change  (%);Carbon footprint intensity ($ GDP (PPP) per GHa);Renewable and nuclear (% of energy consumption)*;Wealth inequality Gini coefficient ;Current account balance (%GDP);Adjusted Net Savings (%GNI);Primary pupil: teacher ratio;Child mortality, per 1000*;"Predicted birth rate per woman; adjusted for child mortality";Fossil hydrocarbon production (million Gj/capita);v2x_libdem;AdjDi;FSI
FRA;1;Europe;Europe;66987244;45300;France;74,3;74,7;74,8;76;75,5;7;99,9;100;61,7;75,2;79;71;93;42,4;68,8;63,3;80,8;93,7;79,3;0,67;15400;48,1;68,7;-0,7;8,47;18,2;4,12;1,95;605;0,773;5,98;32
GEO;1;Asia;Europe;3731000;11400;Georgia;57,1;62;56,6;61,6;59,3;48;99,6;100;47,6;16;54,5;74;1;45,7;40,2;100;94,6;90,8;95,1;0;11900;19,3;67,8;-10,6;9,15;9,01;10,6;2,02;2020;0,53;6,75;72
DEU;1;Europe;Europe;82927922;53700;Germany;68,1;68,9;68,6;68,8;67,3;28;94,5;97,2;60,3;30;62,5;28;100;67,3;65,1;90;76,3;60,6;75,6;-0,0284;15100;10,7;81,6;7,87;13,5;12,1;3,86;1,5;28100;0,774;5,75;24,7
GHA;1;Africa;Sub-Saharan Africa;29767108;4740;Ghana;32,2;33,6;30,6;36,4;32,4;100;98,1;100;41,9;26,6;56,2;72,7;47,1;1;40,2;24,6;4,79;16;15,1;0,305;10500;27,4;68,2;-5,29;-3,64;30,2;54,9;3,82;9700;0,531;0,173;65,9
GRC;1;Europe;Europe;10727668;29600;Greece;56,3;59,7;63;63,4;63,6;37;95,7;100;44;47,3;63,8;72,7;82,7;1;52,1;100;96;37,3;77,8;0,751;11000;13,5;68,2;-1,73;-5,3;9,46;4,5;1,33;22000;0,708;0,375;53,9
GIN;1;Africa;Sub-Saharan Africa;12414318;2630;Guinea;19,4;19,3;16,3;16,9;10,1;121;100;51,7;49,7;35,5;45,6;61,3;1;1;21,1;1,18;1;1;1,06;-0,563;12400;11,3;71,6;-10,2;-23;45,6;107;4,41;0;0,176;0,0181;99,4
HND;1;Americas;Latin America and the Caribbean;9587522;5130;Honduras;;;;;47;75;100;1;41,1;42,7;28,3;32;59,3;78,7;56,7;31,1;93,9;69,2;64,7;-2,55;10300;24,2;80,4;-4,07;15,7;27,7;19,5;2,54;0;0,225;0,355;77,8
HUN;1;Europe;Europe;9768785;30700;Hungary;71,1;72;74,4;77,2;76,2;6;96,5;100;53,9;56,2;70;79,3;100;59,1;79,5;95,8;90,6;53,7;80;0,223;13500;22,9;66,2;2,7;11,8;10,8;5,08;1,45;17800;0,441;9,27;49,6
ISL;1;Europe;Europe;353574;57300;Iceland;74;76,4;78,3;87,3;85,7;1;100;;71,4;100;85,7;56,3;100;64,4;73,6;100;100;99;99,7;2,72;17800;83,1;73,1;4,67;12,9;10;2,18;1,82;0;0,774;15,6;19,8
IND;1;Asia;Western Asia;1352617328;7760;India;52,1;52,7;52,5;55;50,7;68;97,8;100;43,6;28,8;57,5;15,3;86,4;96,9;66,2;19;1;83,2;34,4;0,253;10900;8,94;85,4;-1,36;19,4;32,6;43,8;2,2;11200;0,417;0,776;74,4
