ISO;Usable?;Continent;Region;Politics;Population;GDP/c PPP 2018;Country;Index-4;Index-3;Index-2;Index-1;Index0;Index0-H-Ind;Index0-En-1-Ind;Index0-En-2-Ind;Index0-En-3-Ind;Index0-En-T-Ind;Index0-Ec-1-Ind;Index0-Ec-2-Ind;Index0-Ec-3-Ind;Index0-Ec-T-Ind;Index0-S-1-Ind;Index0-S-2-Ind;Index0-S-3-Ind;Index0-S-T-Ind;Index0-H-Raw;Index0-En-1-Raw;Index0-En-2-Raw;Index0-En-3-Raw;Index0-Ec-1-Raw;Index0-Ec-2-Raw;Index0-Ec-3-Raw;Index0-S-1-Raw;Index0-S-2-Raw;Index0-S-3-Raw;v2x_libdem;DI adj. for pop., area, and heterogeneity (A =0.1);FSI
EGY;1;Africa;Northern Africa;;98423595;12390,41997;Egypt, Arab Rep.;36,37574411;35,75703841;;33,19487331;31,09399678;92,62107805;;59,69036014;17,55733255;38,62384634;1;61,66196784;13,76433689;25,47543491;44,13179158;12,53252874;36,0543725;30,90623094;37601547940;4,34747E-07;14922,59003;3,964147056;90,9;-3,833803216;17,24713262;44,13179158;-37,46747126;1,53469506;0,141;0,042234578;88,4
SLV;1;Americas;Latin America and the Caribbean;;6420744;8316,988971;El Salvador;56,12282465;57,16946961;57,14763445;61,16536385;55,40971603;100;66,49702991;40,73285107;57,50670778;54,91219625;47;65,011736;26,47676093;46,16283231;28,24364347;84,39955389;88,69110167;67,11143301;0;-0,028061225;10183,21277;28,81160419;75,9;-3,4988264;14,70464781;28,24364347;34,39955389;0,27141356;0,455;0,129323084;69,8
EST;1;Europe;Northern Europe;Post-communist;1320884;35450,23971;Estonia;64,66719972;56,06475234;56,00951172;58,04919458;55,6382127;100;24,44650548;39,02501047;13,5305338;25,66734992;63;100;67,85537029;76,9517901;93,2031418;100;68,39882667;87,20065615;0;-0,142708263;9756,252619;1,459672433;71,1;1,934221504;6,428925943;93,2031418;58,61256093;-0,2370088;0,843;2,208766115;40,8
ETH;1;Africa;Sub-Saharan Africa;Post-communist;109224559;2018,571869;Ethiopia;47,9076438;46,60995993;42,51752261;45,77337277;44,43431997;100;100;75,40252624;70,54611633;81,98288086;96;0,262906287;37,23770277;44,50020302;1;70,14258525;1;24,04752842;0;0,005041627;18850,63156;39,50327439;61,2;-9,973709371;12,55245945;1,265625;20,14258525;2,47464232;0,154;2,095443689;94,2
FJI;1;Oceania;Melanesia;;883483;11003,72288;Fiji;55,31982413;54,90707595;49,43294698;53,4104508;51,09191749;100;100;47,1101639;13,63365698;53,58127362;68,66666667;42,73699809;45,36694218;52,25686898;57,21750283;24,18993764;61,48901083;47,63215043;0;0,146688272;11777,54097;9,232370761;69,4;-5,726300191;10,92661156;57,21750283;-25,81006236;0,92426374;0,383;0;71,7
FIN;1;Europe;Northern Europe;Nordic;5518050;47930,19149;Finland;75,88922704;73,63361044;72,27045083;72,16800603;71,47491069;100;94,69511408;42,75168731;81,98508938;73,14396359;44,33333333;89,24132393;38,14568458;57,24011395;84,25555651;100;77,38384;87,21313217;0;-0,000703545;10687,92183;47,47708231;76,7;-1,075867607;12,37086308;84,25555651;62,01962712;-0,1696212;0,803;19,18121473;16,9
FRA;1;Europe;Western Europe;;66987244;45342,39574;France;74,26671529;74,72411713;74,76085521;76,01182601;75,50822427;99,87910975;100;61,7257107;75,22013189;78,98194753;71;93,00168568;42,36871787;68,79013452;63,2955512;80,78916973;93,669825;79,25151531;604634042;0,063178823;15431,42767;48,09134955;68,7;-0,699831432;11,52625643;63,2955512;30,78916973;0,1519242;0,773;5,983063453;32
GEO;1;Asia;Western Asia;Post-communist;3731000;11420,62966;Georgia;57,07241785;61,97296646;56,57341095;61,56459114;59,30748529;99,59543843;100;47,57849532;16,02221971;54,53357168;74;1;45,73217459;40,2440582;100;94,57002096;90,76045167;95,11015754;2024857850;0;11894,62383;19,28626588;67,8;-10,61937059;10,85356508;105,0299893;44,57002096;0,22174916;0,53;6,748133343;72
DEU;1;Europe;Western Europe;;82927922;53735,2006;Germany;68,14408018;68,88158467;68,64958303;68,81442086;66,32149473;94,45692987;88,98247247;60,33351957;30,03878322;59,78492509;28;100;67,26251261;65,0875042;89,95455404;76,32334168;60,55696;75,61161857;28110449346;-0,003034648;15083,37989;10,6896293;81,6;7,873451817;6,547497479;89,95455404;26,32334168;-0,2958228;0,774;5,752166831;24,7
GHA;1;Africa;Sub-Saharan Africa;;29767108;4738,314095;Ghana;32,18322823;33,57753595;30,62226244;36,35784508;32,41243928;98,06888575;100;41,86489614;26,60493694;56,15661103;72,66666667;47,05825023;1;40,24163897;24,5558057;4,794687356;15,98623417;15,11224241;9702641889;0,05090497;10466,22403;27,400878;68,2;-5,294174977;23,63959377;24,5558057;-45,20531264;2,01633038;0,531;0,173094862;65,9
